(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
97:16:57,1657570680,2022-07-11T20:17:55,2022-07-11T14:18:00,1.993,11652.54,36.24,34.49,37.81,852.54,855.78,190.550003,17.76,0.9590,306,0,12.564,1.91079,4.09,53584,40.564729,-105.073046,1528.5,12,0.011822,0.6
97:17:27,1657570710,2022-07-11T20:18:25,2022-07-11T14:18:30,1.990,11653.53,36.21,34.67,37.81,852.49,855.43,190.433334,17.27,0.9589,306,0,12.583,1.90806,4.20,53604,40.564744,-105.073057,1526.9,12,0.064250,0.7
97:17:57,1657570740,2022-07-11T20:18:55,2022-07-11T14:19:00,1.994,11654.53,36.20,35.49,37.78,852.58,854.23,193.216660,17.51,0.9575,306,0,12.592,1.91778,4.20,53652,40.564728,-105.073061,1528.4,12,0.027242,0.7
97:18:27,1657570770,2022-07-11T20:19:25,2022-07-11T14:19:30,1.998,11655.52,36.22,36.13,37.78,852.49,853.22,189.683334,17.30,0.9563,306,0,12.601,1.91382,4.20,53698,40.564725,-105.073039,1525.7,12,0.086866,0.6
97:18:57,1657570800,2022-07-11T20:19:55,2022-07-11T14:20:00,2.004,11656.52,36.26,36.63,37.83,852.43,852.66,195.050003,17.32,0.9556,306,0,12.608,1.90715,4.20,53740,40.564736,-105.073052,1526.5,12,0.049858,0.7
97:19:27,1657570830,2022-07-11T20:20:25,2022-07-11T14:20:30,2.009,11657.52,36.31,36.99,37.85,852.52,852.20,195.333328,17.36,0.9549,306,0,12.614,1.91839,4.20,53781,40.564736,-105.073073,1527.6,12,0.081726,0.7
97:19:57,1657570860,2022-07-11T20:20:55,2022-07-11T14:21:00,2.011,11658.51,36.35,37.32,37.90,852.41,851.82,192.750000,17.22,0.9544,307,0,12.617,1.91991,4.20,53819,40.564725,-105.073057,1530.2,12,0.009252,0.7
97:20:27,1657570890,2022-07-11T20:21:25,2022-07-11T14:21:30,2.010,11659.51,36.39,37.51,37.95,852.51,851.56,193.866669,17.07,0.9540,308,0,12.602,1.91808,4.20,53856,40.564726,-105.073063,1530.9,12,0.010794,0.7
97:20:57,1657570920,2022-07-11T20:21:55,2022-07-11T14:22:00,2.008,11660.50,36.42,37.70,37.99,852.34,851.37,192.266663,17.15,0.9536,308,0,12.586,1.91261,4.20,53891,40.564709,-105.073044,1528.7,12,0.024672,0.7
97:21:27,1657570950,2022-07-11T20:22:25,2022-07-11T14:22:30,2.007,11661.50,36.45,37.77,37.99,852.36,851.28,194.166672,17.28,0.9534,308,0,12.586,1.90927,4.20,53924,40.564704,-105.073040,1527.2,12,0.020560,0.7
97:21:57,1657570980,2022-07-11T20:22:55,2022-07-11T14:23:00,2.009,11662.50,36.47,37.87,38.03,852.44,851.14,193.316666,17.24,0.9532,308,0,12.586,1.91231,4.20,53955,40.564710,-105.073042,1526.9,12,0.031868,0.7
97:22:27,1657571010,2022-07-11T20:23:25,2022-07-11T14:23:30,2.010,11663.49,36.50,37.90,38.07,852.40,851.09,190.750000,17.10,0.9531,308,0,12.588,1.91778,4.20,53985,40.564697,-105.073045,1525.9,12,0.025186,0.7
97:22:57,1657571040,2022-07-11T20:23:55,2022-07-11T14:24:00,2.009,11664.49,36.53,37.92,38.10,852.62,851.13,188.800003,17.01,0.9530,308,0,12.585,1.91626,4.20,54014,40.564710,-105.073033,1524.4,12,0.047802,0.7
97:23:27,1657571070,2022-07-11T20:24:25,2022-07-11T14:24:30,2.010,11665.49,36.55,37.92,38.12,852.42,851.19,194.949997,17.19,0.9530,308,0,12.587,1.91352,4.20,54041,40.564730,-105.073035,1526.5,12,0.032382,0.7
97:23:57,1657571100,2022-07-11T20:24:55,2022-07-11T14:25:00,2.010,11666.48,36.56,37.88,38.13,852.39,851.32,192.350006,17.12,0.9531,308,0,12.585,1.91322,4.20,54067,40.564720,-105.073046,1527.3,12,0.015420,0.7
97:24:27,1657571130,2022-07-11T20:25:25,2022-07-11T14:25:30,2.010,11667.48,36.58,37.89,38.13,852.38,851.32,193.350006,17.04,0.9531,308,0,12.582,1.91565,4.20,54091,40.564711,-105.073055,1528.0,12,0.025186,0.7
97:24:57,1657571160,2022-07-11T20:25:55,2022-07-11T14:26:00,2.010,11668.47,36.59,37.80,38.12,852.41,851.29,191.050003,17.07,0.9530,308,0,12.580,1.91778,4.20,54115,40.564727,-105.073063,1528.3,12,0.002056,0.7
97:25:27,1657571190,2022-07-11T20:26:25,2022-07-11T14:26:30,2.010,11669.47,36.59,37.76,38.12,852.36,851.32,191.683334,17.09,0.9530,308,0,12.581,1.91656,4.20,54137,40.564719,-105.073065,1529.9,12,0.029812,0.7
97:25:57,1657571220,2022-07-11T20:26:55,2022-07-11T14:27:00,2.008,11670.47,36.61,37.70,38.17,852.38,851.59,194.416672,17.30,0.9532,308,0,12.579,1.90866,4.20,54158,40.564729,-105.073054,1528.8,12,0.009766,0.7
97:26:27,1657571250,2022-07-11T20:27:25,2022-07-11T14:27:30,2.008,11671.46,36.60,37.63,38.16,852.22,851.59,192.833328,17.30,0.9532,308,0,12.580,1.91322,4.20,54178,40.564732,-105.073044,1530.0,12,0.049344,0.7
97:26:57,1657571280,2022-07-11T20:27:55,2022-07-11T14:28:00,2.007,11672.46,36.60,37.56,38.17,852.30,851.62,194.300003,17.43,0.9532,308,0,12.578,1.91565,4.20,54196,40.564728,-105.073043,1529.0,12,0.062708,0.7
97:27:27,1657571310,2022-07-11T20:28:25,2022-07-11T14:28:30,2.007,11673.45,36.59,37.47,38.13,852.55,851.86,194.166672,17.38,0.9536,308,0,12.576,1.91443,4.20,54214,40.564740,-105.073058,1526.8,12,0.043690,0.7
97:27:57,1657571340,2022-07-11T20:28:55,2022-07-11T14:29:00,2.007,11674.45,36.58,37.40,38.17,852.36,851.87,193.766663,17.20,0.9537,308,0,12.575,1.91170,4.20,54231,40.564730,-105.073052,1524.9,12,0.025700,0.7
97:28:27,1657571370,2022-07-11T20:29:25,2022-07-11T14:29:30,2.006,11675.45,36.56,37.27,38.12,852.44,851.95,193.683334,17.19,0.9538,308,0,12.575,1.91079,4.20,54247,40.564723,-105.073042,1530.5,12,0.037522,0.7
97:28:57,1657571400,2022-07-11T20:29:55,2022-07-11T14:30:00,2.004,11676.44,36.53,37.18,38.11,852.34,852.12,193.649994,17.12,0.9541,308,0,12.570,1.91778,4.20,54263,40.564694,-105.073032,1532.7,12,0.024158,0.7
97:29:27,1657571430,2022-07-11T20:30:25,2022-07-11T14:30:30,2.003,11677.44,36.51,37.08,38.08,852.21,852.18,191.283340,17.02,0.9543,308,0,12.571,1.91109,4.20,54277,40.564695,-105.073047,1531.0,12,0.013878,0.7
97:29:57,1657571460,2022-07-11T20:30:55,2022-07-11T14:31:00,2.004,11678.43,36.50,36.98,38.05,852.45,852.18,191.866669,17.21,0.9543,308,0,12.569,1.91656,4.20,54291,40.564690,-105.073049,1530.7,12,0.154200,0.7
97:30:27,1657571490,2022-07-11T20:31:25,2022-07-11T14:31:30,2.003,11679.43,36.48,36.92,38.04,852.32,852.33,194.916672,17.16,0.9545,308,0,12.568,1.90927,4.20,54304,40.564708,-105.073054,1529.6,12,0.044204,0.7
97:30:57,1657571520,2022-07-11T20:31:55,2022-07-11T14:32:00,2.002,11680.43,36.46,36.82,38.03,852.31,852.46,192.000000,17.28,0.9547,308,0,12.567,1.91170,4.20,54316,40.564744,-105.073052,1529.7,12,0.009766,0.8
97:31:27,1657571550,2022-07-11T20:32:25,2022-07-11T14:32:30,2.000,11681.42,36.45,36.74,38.03,852.33,852.66,189.216660,17.26,0.9550,308,0,12.567,1.91109,4.20,54328,40.564741,-105.073068,1531.6,12,0.011308,0.8
97:31:57,1657571580,2022-07-11T20:32:55,2022-07-11T14:33:00,2.001,11682.42,36.44,36.66,37.99,852.42,852.83,191.366669,17.06,0.9552,308,0,12.565,1.91322,4.20,54339,40.564741,-105.073077,1536.2,12,0.022102,0.8
97:32:27,1657571610,2022-07-11T20:33:25,2022-07-11T14:33:30,2.000,11683.42,36.42,36.55,37.97,852.37,852.77,191.383331,16.98,0.9553,308,0,12.563,1.91534,4.20,54349,40.564738,-105.073074,1538.0,12,0.022102,0.8
97:32:57,1657571640,2022-07-11T20:33:55,2022-07-11T14:34:00,1.999,11684.41,36.40,36.47,37.95,852.43,852.97,192.199997,17.17,0.9555,308,0,12.562,1.91018,4.20,54359,40.564726,-105.073064,1539.8,12,0.004626,0.8
97:33:27,1657571670,2022-07-11T20:34:25,2022-07-11T14:34:30,1.999,11685.41,36.37,36.38,37.94,852.35,853.00,192.800003,17.23,0.9556,308,0,12.559,1.90715,4.20,54368,40.564716,-105.073052,1535.0,12,0.091492,0.8
97:33:57,1657571700,2022-07-11T20:34:55,2022-07-11T14:35:00,1.999,11686.40,36.35,36.31,37.94,852.36,853.06,190.350006,17.37,0.9557,308,0,12.557,1.90866,4.20,54377,40.564739,-105.073061,1535.5,12,0.015934,0.8
97:34:27,1657571730,2022-07-11T20:35:25,2022-07-11T14:35:30,1.999,11687.40,36.33,36.21,37.92,852.47,853.22,191.600006,17.75,0.9559,308,0,12.556,1.91139,4.20,54386,40.564736,-105.073072,1538.5,12,0.073502,0.8
97:34:57,1657571760,2022-07-11T20:35:55,2022-07-11T14:36:00,1.998,11688.40,36.32,36.12,37.88,852.28,853.26,190.550003,17.43,0.9560,308,0,12.555,1.91170,4.20,54394,40.564759,-105.073064,1530.4,12,0.034438,0.8
97:35:27,1657571790,2022-07-11T20:36:25,2022-07-11T14:36:30,1.996,11689.39,36.31,36.09,37.88,852.39,853.36,189.699997,17.29,0.9562,308,0,12.556,1.90685,4.20,54401,40.564731,-105.073052,1527.8,12,0.006682,0.8
97:35:57,1657571820,2022-07-11T20:36:55,2022-07-11T14:37:00,1.995,11690.39,36.28,36.01,37.83,852.37,853.37,189.550003,17.20,0.9563,308,0,12.555,1.90412,4.20,54408,40.564728,-105.073058,1531.8,12,0.014906,0.7
97:36:27,1657571850,2022-07-11T20:37:25,2022-07-11T14:37:30,1.995,11691.38,36.26,35.98,37.79,852.24,853.31,190.466660,17.42,0.9563,308,0,12.553,1.90442,4.20,54415,40.564746,-105.073057,1537.4,12,0.014392,0.8
97:36:57,1657571880,2022-07-11T20:37:55,2022-07-11T14:38:00,1.995,11692.38,36.24,35.90,37.76,852.27,853.54,189.600006,17.20,0.9567,308,0,12.551,1.91048,4.20,54422,40.564737,-105.073048,1538.7,12,0.034438,0.8
97:37:27,1657571910,2022-07-11T20:38:25,2022-07-11T14:38:30,1.994,11693.38,36.22,35.83,37.77,852.41,853.57,191.550003,17.55,0.9567,308,0,12.552,1.91352,4.20,54428,40.564743,-105.073043,1534.4,12,0.022102,0.8
97:37:57,1657571940,2022-07-11T20:38:55,2022-07-11T14:39:00,1.992,11694.37,36.19,35.79,37.76,852.42,853.52,192.500000,17.25,0.9568,308,0,12.552,1.90836,4.20,54434,40.564725,-105.073049,1530.5,12,0.023644,0.8
97:38:27,1657571970,2022-07-11T20:39:25,2022-07-11T14:39:30,1.993,11695.37,36.15,35.71,37.74,852.34,853.63,189.850006,17.25,0.9571,308,0,12.551,1.90533,4.20,54439,40.564719,-105.073058,1531.8,12,0.053456,0.7
97:38:57,1657572000,2022-07-11T20:39:55,2022-07-11T14:40:00,1.992,11696.36,36.12,35.63,37.71,852.32,853.58,189.883331,17.24,0.9571,308,0,12.548,1.90776,4.20,54444,40.564711,-105.073051,1531.6,12,0.010794,0.8
97:39:27,1657572030,2022-07-11T20:40:25,2022-07-11T14:40:30,1.992,11697.36,36.09,35.61,37.70,852.35,853.67,189.516663,17.22,0.9573,308,0,12.548,1.90957,4.20,54449,40.564718,-105.073052,1532.8,12,0.018504,0.8
97:39:57,1657572060,2022-07-11T20:40:55,2022-07-11T14:41:00,1.992,11698.36,36.08,35.56,37.63,852.27,853.56,191.149994,17.41,0.9572,308,0,12.548,1.90806,4.20,54454,40.564730,-105.073049,1531.5,12,0.022616,0.7
97:40:27,1657572090,2022-07-11T20:41:25,2022-07-11T14:41:30,1.992,11699.35,36.05,35.51,37.63,852.33,853.62,188.600006,17.55,0.9573,308,0,12.543,1.90806,4.17,54454,40.564722,-105.073038,1531.4,12,0.015420,0.7
97:40:57,1657572120,2022-07-11T20:41:55,2022-07-11T14:42:00,1.992,11700.35,36.04,35.37,37.60,852.20,853.92,189.833328,17.63,0.9577,308,0,12.543,1.91200,4.17,54442,40.564718,-105.073044,1534.2,12,0.019532,0.8
97:41:27,1657572150,2022-07-11T20:42:25,2022-07-11T14:42:30,1.990,11701.34,36.01,35.20,37.56,852.29,854.12,188.616669,17.77,0.9579,307,0,12.537,1.90201,4.17,54430,40.564717,-105.073056,1534.9,12,0.009252,0.7
97:41:57,1657572180,2022-07-11T20:42:55,2022-07-11T14:43:00,1.993,11702.34,35.98,35.03,37.56,852.30,854.26,190.183334,17.92,0.9582,307,0,12.555,1.91048,4.16,54418,40.564714,-105.073062,1529.7,12,0.007710,0.8
97:42:27,1657572210,2022-07-11T20:43:25,2022-07-11T14:43:30,1.991,11703.34,35.96,34.92,37.51,852.25,854.40,191.250000,17.76,0.9584,307,0,12.554,1.90382,4.16,54407,40.564702,-105.073066,1531.2,12,0.030840,0.7
97:42:57,1657572240,2022-07-11T20:43:55,2022-07-11T14:44:00,1.990,11704.33,35.93,34.79,37.54,852.31,854.51,193.583328,17.98,0.9586,306,0,12.553,1.90473,4.16,54395,40.564722,-105.073070,1529.8,12,0.064250,0.9
97:43:27,1657572270,2022-07-11T20:44:25,2022-07-11T14:44:30,1.993,11705.33,35.92,34.71,37.53,852.34,854.59,190.516663,18.07,0.9587,306,0,12.567,1.91139,4.16,54383,40.564729,-105.073070,1526.6,12,0.009766,0.8
97:43:57,1657572300,2022-07-11T20:44:55,2022-07-11T14:45:00,1.992,11706.33,35.89,34.61,37.49,852.26,854.76,192.433334,18.10,0.9590,306,0,12.566,1.90745,4.16,54371,40.564740,-105.073075,1527.3,12,0.022102,0.7
97:44:27,1657572330,2022-07-11T20:45:25,2022-07-11T14:45:30,1.993,11707.32,35.88,34.54,37.44,852.32,854.87,190.550003,18.18,0.9591,306,0,12.566,1.90957,4.16,54360,40.564733,-105.073055,1528.6,12,0.044718,0.7
97:44:57,1657572360,2022-07-11T20:45:55,2022-07-11T14:46:00,1.991,11708.32,35.85,34.45,37.40,852.30,854.96,191.466660,18.01,0.9594,306,0,12.565,1.90866,4.16,54348,40.564717,-105.073039,1531.5,12,0.011822,0.8
97:45:27,1657572390,2022-07-11T20:46:25,2022-07-11T14:46:30,1.990,11709.31,35.84,34.41,37.38,852.27,855.04,192.500000,18.09,0.9595,306,0,12.564,1.90685,4.16,54336,40.564704,-105.073035,1528.4,12,0.017476,0.8
97:45:57,1657572420,2022-07-11T20:46:55,2022-07-11T14:47:00,1.990,11710.31,35.82,34.32,37.36,852.25,855.07,190.666672,18.29,0.9595,306,0,12.562,1.91504,4.15,54324,40.564708,-105.073045,1528.1,12,0.024672,0.8
97:46:27,1657572450,2022-07-11T20:47:25,2022-07-11T14:47:30,1.989,11711.31,35.80,34.27,37.38,852.17,855.21,192.433334,18.37,0.9597,305,0,12.562,1.90322,4.15,54312,40.564713,-105.073054,1527.9,12,0.004112,0.7
97:46:57,1657572480,2022-07-11T20:47:55,2022-07-11T14:48:00,1.991,11712.30,35.80,34.21,37.35,852.28,855.34,191.300003,17.77,0.9600,305,0,12.580,1.91139,4.15,54301,40.564708,-105.073041,1526.7,12,0.057568,0.7
97:47:27,1657572510,2022-07-11T20:48:25,2022-07-11T14:48:30,1.990,11713.30,35.75,34.18,37.29,852.29,855.32,192.100006,18.12,0.9601,305,0,12.577,1.91170,4.15,54289,40.564709,-105.073035,1526.5,12,0.030326,0.7
97:47:57,1657572540,2022-07-11T20:48:55,2022-07-11T14:49:00,1.992,11714.29,35.73,34.10,37.31,852.40,855.30,188.866669,17.94,0.9602,305,0,12.579,1.90927,4.15,54277,40.564715,-105.073040,1525.3,12,0.037522,0.7
97:48:27,1657572570,2022-07-11T20:49:25,2022-07-11T14:49:30,1.990,11715.29,35.71,34.09,37.30,852.27,855.36,194.350006,18.29,0.9602,304,0,12.576,1.90715,4.15,54265,40.564714,-105.073056,1526.3,12,0.025186,0.7
97:48:57,1657572600,2022-07-11T20:49:55,2022-07-11T14:50:00,1.994,11716.29,35.67,34.02,37.24,852.34,855.42,190.066666,18.48,0.9604,304,0,12.595,1.91717,4.15,54253,40.564717,-105.073067,1527.7,12,0.014392,0.8
97:49:27,1657572630,2022-07-11T20:50:25,2022-07-11T14:50:30,1.994,11717.28,35.64,33.98,37.22,852.29,855.34,191.633331,18.63,0.9603,304,0,12.594,1.91322,4.15,54242,40.564732,-105.073074,1526.5,12,0.015420,0.8
97:49:57,1657572660,2022-07-11T20:50:55,2022-07-11T14:51:00,1.993,11718.28,35.62,33.94,37.19,852.32,855.45,192.166672,18.12,0.9607,304,0,12.594,1.91839,4.14,54230,40.564737,-105.073085,1527.7,12,0.025186,0.7
97:50:27,1657572690,2022-07-11T20:51:25,2022-07-11T14:51:30,1.993,11719.27,35.59,33.92,37.17,852.29,855.45,189.833328,18.17,0.9607,304,0,12.592,1.91504,4.14,54218,40.564738,-105.073084,1531.2,12,0.019532,0.7
97:50:57,1657572720,2022-07-11T20:51:55,2022-07-11T14:52:00,1.993,11720.27,35.56,33.88,37.13,852.25,855.43,192.649994,18.33,0.9608,304,0,12.593,1.91656,4.14,54206,40.564731,-105.073062,1529.5,12,0.024158,0.7
97:51:27,1657572750,2022-07-11T20:52:25,2022-07-11T14:52:30,1.993,11721.27,35.53,33.82,37.13,852.42,855.46,189.933334,18.42,0.9609,304,0,12.590,1.91261,4.14,54194,40.564728,-105.073049,1525.1,12,0.039578,0.7
97:51:57,1657572780,2022-07-11T20:52:55,2022-07-11T14:53:00,1.993,11722.26,35.52,33.81,37.08,852.31,855.49,193.916672,18.13,0.9610,304,0,12.592,1.91626,4.14,54182,40.564728,-105.073047,1520.6,12,0.019532,0.8
97:52:27,1657572810,2022-07-11T20:53:25,2022-07-11T14:53:30,1.991,11723.26,35.50,33.73,37.06,852.43,855.36,191.866669,18.21,0.9609,304,0,12.592,1.91656,4.14,54171,40.564734,-105.073050,1522.2,12,0.014392,0.7
97:52:57,1657572840,2022-07-11T20:53:55,2022-07-11T14:54:00,1.990,11724.25,35.47,33.74,37.06,852.35,855.44,189.333328,18.17,0.9611,304,0,12.590,1.91839,4.14,54159,40.564719,-105.073048,1524.1,12,0.026214,0.7
97:53:27,1657572870,2022-07-11T20:54:25,2022-07-11T14:54:30,1.989,11725.25,35.46,33.67,37.03,852.24,855.45,193.250000,18.02,0.9612,304,0,12.590,1.91413,4.14,54147,40.564707,-105.073037,1525.3,12,0.014392,0.8
97:53:57,1657572900,2022-07-11T20:54:55,2022-07-11T14:55:00,1.990,11726.25,35.44,33.68,37.00,852.28,855.47,192.850006,18.10,0.9613,304,0,12.590,1.91322,4.14,54135,40.564710,-105.073041,1524.6,12,0.020046,0.8
97:54:27,1657572930,2022-07-11T20:55:25,2022-07-11T14:55:30,1.990,11727.24,35.42,33.63,36.97,852.28,855.45,191.550003,18.40,0.9613,304,0,12.589,1.91747,4.13,54123,40.564715,-105.073043,1523.6,12,0.030840,0.7
97:54:57,1657572960,2022-07-11T20:55:55,2022-07-11T14:56:00,1.990,11728.24,35.41,33.62,36.99,852.23,855.53,191.716660,18.34,0.9614,304,0,12.591,1.91291,4.13,54111,40.564718,-105.073037,1525.7,12,0.009252,0.7
97:55:27,1657572990,2022-07-11T20:56:25,2022-07-11T14:56:30,1.990,11729.24,35.41,33.62,36.97,852.31,855.59,193.600006,18.52,0.9614,303,0,12.590,1.91109,4.13,54100,40.564721,-105.073048,1526.2,12,0.054998,0.7
97:55:57,1657573020,2022-07-11T20:56:55,2022-07-11T14:57:00,1.994,11730.23,35.39,33.56,36.94,852.18,855.53,189.566666,18.59,0.9614,303,0,12.610,1.91656,4.13,54088,40.564712,-105.073060,1526.3,12,0.044718,0.8
97:56:27,1657573050,2022-07-11T20:57:25,2022-07-11T14:57:30,1.993,11731.23,35.38,33.54,36.92,852.26,855.59,191.366669,18.50,0.9615,303,0,12.606,1.91504,4.13,54076,40.564704,-105.073069,1526.0,12,0.007710,0.7
97:56:57,1657573080,2022-07-11T20:57:55,2022-07-11T14:58:00,1.993,11732.22,35.37,33.52,36.92,852.35,855.62,187.000000,18.63,0.9616,303,0,12.606,1.91900,4.13,54064,40.564711,-105.073082,1526.3,12,0.010280,0.7
97:57:27,1657573110,2022-07-11T20:58:25,2022-07-11T14:58:30,1.991,11733.22,35.37,33.54,36.92,852.29,855.62,189.050003,18.16,0.9617,303,0,12.605,1.91656,4.13,54052,40.564710,-105.073073,1527.9,12,0.037522,0.7
97:57:57,1657573140,2022-07-11T20:58:55,2022-07-11T14:59:00,1.992,11734.22,35.37,33.50,36.91,852.10,855.56,191.033340,18.34,0.9616,303,0,12.608,1.91504,4.13,54040,40.564712,-105.073068,1529.8,12,0.033410,0.7
97:58:27,1657573170,2022-07-11T20:59:25,2022-07-11T14:59:30,1.992,11735.21,35.35,33.49,36.94,852.27,855.63,191.216660,18.31,0.9617,303,0,12.606,1.92052,4.13,54028,40.564707,-105.073065,1528.7,12,0.003598,0.7
97:58:57,1657573200,2022-07-11T20:59:55,2022-07-11T15:00:00,1.991,11736.21,35.34,33.44,36.91,852.27,855.66,189.733337,18.30,0.9618,303,0,12.605,1.91079,4.13,54016,40.564710,-105.073075,1530.5,12,0.055512,0.7
97:59:27,1657573230,2022-07-11T21:00:25,2022-07-11T15:00:30,1.991,11737.20,35.34,33.45,36.90,852.24,855.66,192.316666,18.67,0.9617,303,0,12.605,1.91717,4.13,54005,40.564732,-105.073076,1526.5,12,0.019532,0.7
97:59:57,1657573260,2022-07-11T21:00:55,2022-07-11T15:01:00,1.992,11738.20,35.33,33.44,36.90,852.14,855.57,191.683334,18.66,0.9616,303,0,12.608,1.91595,4.12,53993,40.564705,-105.073053,1529.4,12,0.022616,0.7
98:00:27,1657573290,2022-07-11T21:01:25,2022-07-11T15:01:30,1.993,11739.20,35.33,33.38,36.85,852.22,855.65,192.250000,18.66,0.9617,303,0,12.608,1.91382,4.12,53981,40.564707,-105.073060,1530.0,12,0.030326,0.7
98:00:57,1657573320,2022-07-11T21:01:55,2022-07-11T15:02:00,1.992,11740.19,35.32,33.42,36.85,852.27,855.66,190.733337,18.58,0.9618,303,0,12.609,1.91626,4.12,53969,40.564704,-105.073058,1528.0,12,0.024672,0.7
98:01:27,1657573350,2022-07-11T21:02:25,2022-07-11T15:02:30,1.993,11741.19,35.32,33.39,36.84,852.30,855.66,191.449997,18.28,0.9619,303,0,12.605,1.91534,4.12,53957,40.564704,-105.073051,1527.1,12,0.026214,0.8
98:01:57,1657573380,2022-07-11T21:02:55,2022-07-11T15:03:00,1.992,11742.18,35.31,33.36,36.85,852.39,855.68,190.516663,18.38,0.9619,303,0,12.606,1.91900,4.12,53945,40.564710,-105.073048,1523.4,12,0.015934,0.7
98:02:27,1657573410,2022-07-11T21:03:25,2022-07-11T15:03:30,1.992,11743.18,35.30,33.38,36.83,852.22,855.74,193.483337,18.41,0.9620,303,0,12.608,1.91261,4.12,53933,40.564731,-105.073045,1520.1,12,0.018504,0.8
98:02:57,1657573440,2022-07-11T21:03:55,2022-07-11T15:04:00,1.992,11744.18,35.31,33.34,36.83,852.28,855.76,189.533340,18.75,0.9619,303,0,12.605,1.91079,4.12,53921,40.564726,-105.073042,1521.7,12,0.040092,0.8
98:03:27,1657573470,2022-07-11T21:04:25,2022-07-11T15:04:30,1.992,11745.17,35.31,33.35,36.83,852.22,855.76,192.533340,18.45,0.9620,303,0,12.605,1.91747,4.12,53909,40.564713,-105.073040,1525.4,12,0.051914,0.8
98:03:57,1657573500,2022-07-11T21:04:55,2022-07-11T15:05:00,1.991,11746.17,35.30,33.35,36.87,852.22,855.69,192.350006,18.70,0.9619,303,0,12.604,1.91595,4.12,53898,40.564705,-105.073052,1524.7,12,0.008738,0.7
98:04:27,1657573530,2022-07-11T21:05:25,2022-07-11T15:05:30,1.991,11747.17,35.30,33.30,36.83,852.14,855.71,192.750000,18.69,0.9619,303,0,12.606,1.91808,4.12,53886,40.564709,-105.073066,1525.3,12,0.019018,0.9
98:04:57,1657573560,2022-07-11T21:05:55,2022-07-11T15:06:00,1.990,11748.16,35.30,33.30,36.81,852.17,855.74,192.183334,18.72,0.9619,303,0,12.606,1.91626,4.11,53874,40.564724,-105.073063,1527.9,12,0.006168,0.7
98:05:27,1657573590,2022-07-11T21:06:25,2022-07-11T15:06:30,1.991,11749.16,35.31,33.30,36.82,852.30,855.76,191.216660,18.64,0.9619,303,0,12.604,1.91686,4.11,53862,40.564729,-105.073066,1527.7,12,0.024158,0.7
98:05:57,1657573620,2022-07-11T21:06:55,2022-07-11T15:07:00,1.990,11750.15,35.29,33.26,36.81,852.09,855.71,189.949997,18.67,0.9619,303,0,12.601,1.91960,4.11,53850,40.564718,-105.073060,1527.9,12,0.011822,0.8
98:06:27,1657573650,2022-07-11T21:07:25,2022-07-11T15:07:30,1.990,11751.15,35.29,33.29,36.81,852.14,855.71,191.316666,18.43,0.9620,303,0,12.605,1.91200,4.11,53838,40.564707,-105.073057,1532.5,12,0.007196,0.8
98:06:57,1657573680,2022-07-11T21:07:55,2022-07-11T15:08:00,1.990,11752.15,35.27,33.27,36.81,852.06,855.66,191.266663,18.42,0.9620,303,0,12.603,1.91352,4.11,53826,40.564712,-105.073061,1532.4,12,0.004112,0.8
98:07:27,1657573710,2022-07-11T21:08:25,2022-07-11T15:08:30,1.991,11753.14,35.26,33.25,36.79,852.23,855.72,194.550003,18.40,0.9621,303,0,12.604,1.91565,4.11,53814,40.564713,-105.073056,1530.6,12,0.008224,0.7
98:07:57,1657573740,2022-07-11T21:08:55,2022-07-11T15:09:00,1.992,11754.14,35.24,33.27,36.80,852.23,855.64,190.566666,18.61,0.9620,303,0,12.606,1.91413,4.11,53802,40.564716,-105.073037,1527.3,12,0.021074,0.8
98:08:27,1657573770,2022-07-11T21:09:25,2022-07-11T15:09:30,1.991,11755.13,35.24,33.25,36.77,852.18,855.77,191.533340,18.85,0.9621,303,0,12.606,1.91778,4.11,53790,40.564724,-105.073035,1526.5,12,0.023644,0.8
98:08:57,1657573800,2022-07-11T21:09:55,2022-07-11T15:10:00,1.990,11756.13,35.23,33.26,36.76,852.24,855.58,192.716660,18.63,0.9620,303,0,12.604,1.91656,4.11,53778,40.564731,-105.073041,1525.2,12,0.025700,0.7
98:09:27,1657573830,2022-07-11T21:10:25,2022-07-11T15:10:30,1.991,11757.13,35.20,33.22,36.76,852.14,855.61,190.833328,19.09,0.9620,303,0,12.602,1.91139,4.11,53767,40.564734,-105.073048,1525.2,12,0.028270,0.8
98:09:57,1657573860,2022-07-11T21:10:55,2022-07-11T15:11:00,1.988,11758.12,35.20,33.20,36.74,852.22,855.64,192.649994,19.20,0.9620,302,0,12.602,1.91231,4.11,53755,40.564721,-105.073052,1527.1,12,0.028784,0.7
