(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
99:58:15,1657580370,2022-07-11T22:59:23,2022-07-11T16:59:30,1.997,11976.42,35.90,35.03,37.34,851.18,854.24,184.449997,20.74,0.9577,282,0,12.827,1.91387,4.19,53729,40.564721,-105.073020,1533.6,12,0.061680,1.0
99:58:45,1657580400,2022-07-11T22:59:53,2022-07-11T17:00:00,1.998,11977.41,35.89,35.03,37.33,851.19,854.17,184.899994,20.73,0.9577,282,0,12.827,1.91425,4.19,53734,40.564697,-105.073052,1531.0,12,0.051914,1.0
99:59:15,1657580430,2022-07-11T23:00:23,2022-07-11T17:00:30,1.998,11978.41,35.89,34.96,37.35,851.16,854.09,184.399994,20.60,0.9576,282,0,12.827,1.91092,4.19,53739,40.564693,-105.073069,1526.5,12,0.067848,1.0
99:59:45,1657580460,2022-07-11T23:00:53,2022-07-11T17:01:00,1.998,11979.41,35.89,34.96,37.35,851.16,854.19,182.399994,20.68,0.9577,282,0,12.821,1.91647,4.16,53736,40.564692,-105.073034,1529.8,12,0.023644,1.0
100:00:15,1657580490,2022-07-11T23:01:23,2022-07-11T17:01:30,1.998,11980.40,35.91,34.90,37.38,851.18,854.30,182.649994,20.67,0.9577,282,0,12.820,1.91572,4.15,53724,40.564676,-105.073031,1531.1,12,0.076072,1.0
100:00:45,1657580520,2022-07-11T23:01:53,2022-07-11T17:02:00,1.997,11981.40,35.89,34.72,37.34,851.24,854.57,184.600006,20.87,0.9581,282,0,12.819,1.91572,4.15,53712,40.564677,-105.073036,1531.0,12,0.025700,1.0
100:01:15,1657580550,2022-07-11T23:02:23,2022-07-11T17:02:30,1.996,11982.39,35.88,34.62,37.33,851.24,854.70,182.899994,21.14,0.9582,282,0,12.817,1.91387,4.15,53700,40.564683,-105.073048,1527.0,12,0.058082,1.1
100:01:45,1657580580,2022-07-11T23:02:53,2022-07-11T17:03:00,1.995,11983.39,35.86,34.51,37.31,851.16,854.81,185.600006,21.19,0.9584,282,0,12.815,1.90944,4.15,53688,40.564681,-105.073064,1530.1,12,0.082240,1.0
100:02:15,1657580610,2022-07-11T23:03:23,2022-07-11T17:03:30,1.994,11984.39,35.86,34.45,37.31,851.22,854.86,184.500000,20.85,0.9585,282,0,12.813,1.90613,4.15,53676,40.564688,-105.073048,1530.3,12,0.062708,1.0
100:02:45,1657580640,2022-07-11T23:03:53,2022-07-11T17:04:00,1.994,11985.38,35.85,34.39,37.33,851.14,854.95,184.600006,20.86,0.9586,282,0,12.813,1.90797,4.14,53663,40.564692,-105.073002,1536.4,12,0.037522,1.0
100:03:15,1657580670,2022-07-11T23:04:23,2022-07-11T17:04:30,1.993,11986.38,35.83,34.30,37.29,851.14,854.95,185.449997,20.61,0.9588,282,0,12.813,1.90871,4.14,53651,40.564686,-105.073009,1531.6,12,0.090978,1.0
100:03:45,1657580700,2022-07-11T23:04:53,2022-07-11T17:05:00,1.993,11987.38,35.84,34.24,37.29,851.19,855.05,183.949997,21.09,0.9587,282,0,12.810,1.91387,4.14,53639,40.564661,-105.073064,1525.6,12,0.116164,1.0
100:04:15,1657580730,2022-07-11T23:05:23,2022-07-11T17:05:30,1.992,11988.37,35.82,34.22,37.30,851.17,855.16,185.850006,20.92,0.9590,282,0,12.809,1.91166,4.14,53627,40.564641,-105.073063,1522.9,12,0.040606,1.0
100:04:45,1657580760,2022-07-11T23:05:53,2022-07-11T17:06:00,1.991,11989.37,35.81,34.13,37.25,851.15,855.09,182.899994,20.73,0.9590,282,0,12.809,1.90650,4.14,53615,40.564644,-105.073046,1523.2,12,0.046774,1.1
100:05:15,1657580790,2022-07-11T23:06:23,2022-07-11T17:06:30,1.991,11990.36,35.79,34.11,37.25,851.10,855.17,185.550003,20.77,0.9591,282,0,12.810,1.91055,4.14,53603,40.564671,-105.073037,1528.5,12,0.026728,1.0
100:05:45,1657580820,2022-07-11T23:06:53,2022-07-11T17:07:00,1.990,11991.36,35.78,34.06,37.27,851.20,855.23,185.449997,20.82,0.9592,282,0,12.809,1.91092,4.14,53590,40.564690,-105.073009,1533.3,12,0.021074,1.1
100:06:15,1657580850,2022-07-11T23:07:23,2022-07-11T17:07:30,1.991,11992.36,35.77,34.05,37.22,851.18,855.36,183.399994,20.78,0.9594,282,0,12.808,1.91018,4.14,53578,40.564693,-105.072991,1532.9,11,0.105370,1.0
100:06:45,1657580880,2022-07-11T23:07:53,2022-07-11T17:08:00,1.990,11993.35,35.76,33.98,37.27,851.21,855.34,183.699997,20.69,0.9594,282,0,12.807,1.91018,4.14,53566,40.564675,-105.073013,1528.9,11,0.008738,1.1
100:07:15,1657580910,2022-07-11T23:08:23,2022-07-11T17:08:30,1.990,11994.35,35.76,33.95,37.19,851.16,855.36,183.050003,20.75,0.9594,282,0,12.807,1.90908,4.13,53554,40.564665,-105.073036,1522.1,12,0.005654,1.1
100:07:45,1657580940,2022-07-11T23:08:53,2022-07-11T17:09:00,1.989,11995.34,35.74,33.91,37.20,851.19,855.42,184.350006,20.43,0.9596,281,0,12.807,1.90908,4.13,53542,40.564633,-105.073028,1522.4,12,0.145976,1.0
100:08:15,1657580970,2022-07-11T23:09:23,2022-07-11T17:09:30,1.996,11996.34,35.73,33.88,37.19,851.13,855.42,183.300003,20.52,0.9597,281,0,12.837,1.91795,4.13,53530,40.564667,-105.073061,1525.9,12,0.094062,1.0
100:08:45,1657581000,2022-07-11T23:09:53,2022-07-11T17:10:00,1.995,11997.34,35.71,33.88,37.21,851.19,855.45,184.399994,20.46,0.9598,281,0,12.835,1.91314,4.13,53517,40.564680,-105.073052,1526.8,12,0.046260,1.2
100:09:15,1657581030,2022-07-11T23:10:23,2022-07-11T17:10:30,1.995,11998.33,35.72,33.86,37.17,851.24,855.45,182.449997,20.62,0.9597,281,0,12.836,1.91572,4.13,53505,40.564680,-105.073055,1522.8,12,0.039578,1.0
100:09:45,1657581060,2022-07-11T23:10:53,2022-07-11T17:11:00,1.995,11999.33,35.71,33.80,37.18,851.11,855.45,184.449997,20.65,0.9597,281,0,12.837,1.91129,4.13,53493,40.564683,-105.073069,1523.2,12,0.051400,0.9
100:10:15,1657581090,2022-07-11T23:11:23,2022-07-11T17:11:30,1.994,12000.32,35.71,33.80,37.18,851.19,855.56,183.699997,20.66,0.9598,281,0,12.835,1.91203,4.13,53481,40.564672,-105.073031,1528.1,12,0.112052,0.9
100:10:45,1657581120,2022-07-11T23:11:53,2022-07-11T17:12:00,1.995,12001.32,35.70,33.81,37.15,851.11,855.40,185.149994,20.73,0.9597,281,0,12.837,1.91166,4.13,53469,40.564669,-105.073021,1530.7,12,0.185040,0.9
100:11:15,1657581150,2022-07-11T23:12:23,2022-07-11T17:12:30,1.995,12002.32,35.71,33.80,37.17,851.16,855.53,184.949997,20.89,0.9598,281,0,12.833,1.91721,4.13,53456,40.564672,-105.073019,1529.2,12,0.035980,0.9
100:11:45,1657581180,2022-07-11T23:12:53,2022-07-11T17:13:00,1.994,12003.31,35.71,33.77,37.16,851.22,855.48,185.449997,20.67,0.9598,281,0,12.832,1.91387,4.13,53444,40.564672,-105.072993,1534.4,12,0.068362,0.9
100:12:15,1657581210,2022-07-11T23:13:23,2022-07-11T17:13:30,1.995,12004.31,35.70,33.77,37.18,851.14,855.53,184.949997,20.65,0.9599,281,0,12.833,1.91609,4.13,53432,40.564645,-105.072987,1530.5,12,0.032382,0.9
100:12:45,1657581240,2022-07-11T23:13:53,2022-07-11T17:14:00,1.994,12005.30,35.72,33.78,37.17,851.16,855.71,186.350006,21.01,0.9599,281,0,12.833,1.91461,4.12,53420,40.564635,-105.072972,1532.6,12,0.373678,0.9
100:13:15,1657581270,2022-07-11T23:14:23,2022-07-11T17:14:30,1.995,12006.30,35.71,33.75,37.18,851.13,855.56,186.800003,20.87,0.9598,281,0,12.833,1.91498,4.12,53408,40.564661,-105.072967,1535.7,12,0.075044,0.9
100:13:45,1657581300,2022-07-11T23:14:53,2022-07-11T17:15:00,1.994,12007.30,35.71,33.73,37.15,851.11,855.53,183.449997,20.57,0.9598,281,0,12.833,1.91572,4.12,53395,40.564678,-105.073049,1528.0,12,0.164994,0.9
100:14:15,1657581330,2022-07-11T23:15:23,2022-07-11T17:15:30,1.994,12008.29,35.70,33.72,37.15,851.19,855.59,184.649994,20.76,0.9599,281,0,12.833,1.90908,4.12,53383,40.564673,-105.073034,1520.6,12,0.083782,0.9
100:14:45,1657581360,2022-07-11T23:15:53,2022-07-11T17:16:00,1.994,12009.29,35.69,33.73,37.18,851.04,855.62,182.250000,20.90,0.9599,281,0,12.832,1.91647,4.12,53371,40.564651,-105.073005,1526.4,12,0.106398,0.9
100:15:15,1657581390,2022-07-11T23:16:23,2022-07-11T17:16:30,1.994,12010.29,35.68,33.69,37.19,851.09,855.56,183.649994,20.47,0.9600,281,0,12.832,1.91535,4.12,53359,40.564649,-105.073025,1528.2,12,0.029298,0.9
100:15:45,1657581420,2022-07-11T23:16:53,2022-07-11T17:17:00,1.994,12011.28,35.68,33.70,37.14,851.12,855.62,181.600006,20.66,0.9600,281,0,12.833,1.91461,4.12,53346,40.564655,-105.073035,1527.5,12,0.037008,0.9
100:16:15,1657581450,2022-07-11T23:17:23,2022-07-11T17:17:30,1.994,12012.28,35.68,33.70,37.13,851.12,855.56,183.199997,20.77,0.9599,281,0,12.833,1.91832,4.12,53334,40.564685,-105.073041,1522.1,12,0.042148,0.9
100:16:45,1657581480,2022-07-11T23:17:53,2022-07-11T17:18:00,1.994,12013.27,35.67,33.67,37.15,851.15,855.62,183.350006,20.61,0.9601,281,0,12.832,1.91609,4.12,53322,40.564683,-105.073052,1522.6,12,0.017990,0.9
100:17:15,1657581510,2022-07-11T23:18:23,2022-07-11T17:18:30,1.994,12014.27,35.66,33.67,37.10,851.12,855.59,184.250000,21.04,0.9600,281,0,12.832,1.91314,4.12,53310,40.564660,-105.073058,1528.8,12,0.024158,0.9
100:17:45,1657581540,2022-07-11T23:18:53,2022-07-11T17:19:00,1.994,12015.27,35.64,33.65,37.12,851.18,855.57,183.850006,21.08,0.9600,281,0,12.831,1.91425,4.12,53298,40.564664,-105.073082,1528.4,12,0.112052,0.9
100:18:15,1657581570,2022-07-11T23:19:23,2022-07-11T17:19:30,1.993,12016.26,35.65,33.65,37.12,851.12,855.65,183.250000,20.79,0.9601,281,0,12.832,1.91387,4.12,53285,40.564693,-105.073074,1528.4,12,0.057568,0.9
100:18:45,1657581600,2022-07-11T23:19:53,2022-07-11T17:20:00,1.993,12017.26,35.63,33.64,37.10,851.15,855.65,182.500000,20.94,0.9602,281,0,12.831,1.91351,4.11,53273,40.564687,-105.073051,1528.0,12,0.051914,0.9
100:19:15,1657581630,2022-07-11T23:20:23,2022-07-11T17:20:30,1.993,12018.25,35.62,33.61,37.10,851.15,855.52,183.149994,20.92,0.9600,281,0,12.832,1.91203,4.11,53261,40.564685,-105.073039,1529.4,12,0.059624,0.9
100:19:45,1657581660,2022-07-11T23:20:53,2022-07-11T17:21:00,1.992,12019.25,35.60,33.62,37.04,851.16,855.58,185.250000,20.78,0.9602,281,0,12.832,1.90834,4.11,53249,40.564674,-105.073030,1532.4,12,0.025700,0.9
100:20:15,1657581690,2022-07-11T23:21:23,2022-07-11T17:21:30,1.991,12020.25,35.58,33.60,37.03,851.08,855.53,184.550003,20.59,0.9603,281,0,12.831,1.91609,4.11,53236,40.564673,-105.073036,1534.6,12,0.027242,1.0
100:20:45,1657581720,2022-07-11T23:21:53,2022-07-11T17:22:00,1.991,12021.24,35.57,33.60,37.03,851.08,855.53,184.750000,20.82,0.9602,281,0,12.831,1.91240,4.11,53224,40.564666,-105.073028,1538.0,12,0.033410,0.9
100:21:15,1657581750,2022-07-11T23:22:23,2022-07-11T17:22:30,1.991,12022.24,35.54,33.55,37.04,851.19,855.59,184.899994,20.85,0.9604,281,0,12.832,1.91277,4.11,53212,40.564662,-105.073041,1532.4,12,0.100744,0.9
100:21:45,1657581780,2022-07-11T23:22:53,2022-07-11T17:23:00,1.991,12023.23,35.52,33.52,37.04,851.14,855.49,184.699997,20.96,0.9603,281,0,12.830,1.91055,4.11,53200,40.564648,-105.073099,1522.1,12,0.064764,0.9
100:22:15,1657581810,2022-07-11T23:23:23,2022-07-11T17:23:30,1.991,12024.23,35.50,33.53,36.99,851.12,855.60,182.000000,21.02,0.9605,281,0,12.831,1.91277,4.11,53188,40.564677,-105.073127,1524.3,12,0.057568,0.9
100:22:45,1657581840,2022-07-11T23:23:53,2022-07-11T17:24:00,1.991,12025.23,35.48,33.51,36.97,851.23,855.57,182.750000,21.07,0.9605,281,0,12.831,1.91535,4.11,53175,40.564714,-105.073141,1523.2,12,0.070418,0.9
100:23:15,1657581870,2022-07-11T23:24:23,2022-07-11T17:24:30,1.991,12026.22,35.45,33.48,36.92,851.12,855.40,181.850006,21.01,0.9605,281,0,12.831,1.91425,4.11,53163,40.564719,-105.073097,1526.7,12,0.023644,0.9
100:23:45,1657581900,2022-07-11T23:24:53,2022-07-11T17:25:00,1.990,12027.22,35.43,33.47,36.92,851.10,855.48,182.350006,20.85,0.9607,281,0,12.830,1.91314,4.11,53151,40.564725,-105.073080,1525.0,12,0.026728,0.9
100:24:15,1657581930,2022-07-11T23:25:23,2022-07-11T17:25:30,1.989,12028.21,35.41,33.43,36.91,851.13,855.56,183.550003,20.95,0.9608,280,0,12.829,1.90944,4.11,53139,40.564698,-105.073050,1530.8,12,0.111538,0.9
100:24:45,1657581960,2022-07-11T23:25:53,2022-07-11T17:26:00,1.993,12029.21,35.39,33.44,36.87,851.24,855.59,186.699997,20.93,0.9609,280,0,12.849,1.91055,4.11,53126,40.564681,-105.073046,1533.4,12,0.081726,0.9
100:25:15,1657581990,2022-07-11T23:26:23,2022-07-11T17:26:30,1.994,12030.21,35.36,33.40,36.83,851.12,855.46,186.649994,21.38,0.9607,280,0,12.850,1.91277,4.11,53114,40.564651,-105.073008,1529.4,12,0.066820,0.9
100:25:45,1657582020,2022-07-11T23:26:53,2022-07-11T17:27:00,1.992,12031.20,35.33,33.36,36.81,851.17,855.47,183.699997,21.56,0.9608,280,0,12.849,1.91240,4.10,53102,40.564639,-105.072999,1527.0,12,0.364940,0.9
100:26:15,1657582050,2022-07-11T23:27:23,2022-07-11T17:27:30,1.991,12032.20,35.33,33.36,36.81,851.12,855.53,185.600006,21.31,0.9609,280,0,12.849,1.91203,4.10,53090,40.564648,-105.072996,1526.5,12,0.080184,0.9
100:26:45,1657582080,2022-07-11T23:27:53,2022-07-11T17:28:00,1.993,12033.20,35.30,33.34,36.75,851.23,855.58,185.350006,21.23,0.9611,280,0,12.848,1.91572,4.10,53077,40.564668,-105.073046,1524.3,12,0.079156,1.0
100:27:15,1657582110,2022-07-11T23:28:23,2022-07-11T17:28:30,1.993,12034.19,35.28,33.31,36.76,851.15,855.61,185.649994,21.37,0.9612,280,0,12.849,1.91351,4.10,53065,40.564670,-105.073051,1529.2,12,0.076586,0.9
100:27:45,1657582140,2022-07-11T23:28:53,2022-07-11T17:29:00,1.993,12035.19,35.26,33.29,36.75,851.08,855.57,185.699997,21.05,0.9613,280,0,12.848,1.91314,4.10,53053,40.564678,-105.073016,1530.5,12,0.007710,0.9
100:28:15,1657582170,2022-07-11T23:29:23,2022-07-11T17:29:30,1.992,12036.18,35.23,33.29,36.72,851.27,855.63,184.699997,20.94,0.9615,280,0,12.848,1.91018,4.10,53041,40.564667,-105.073006,1528.9,12,0.043176,0.9
100:28:45,1657582200,2022-07-11T23:29:53,2022-07-11T17:30:00,1.988,12037.18,35.22,33.25,36.72,851.25,855.65,184.399994,21.06,0.9615,279,0,12.847,1.91092,4.10,53028,40.564647,-105.073003,1528.8,12,0.043690,0.9
100:29:15,1657582230,2022-07-11T23:30:23,2022-07-11T17:30:30,1.995,12038.18,35.20,33.24,36.69,851.25,855.58,185.149994,21.27,0.9615,279,0,12.865,1.91906,4.10,53016,40.564638,-105.073002,1533.7,12,0.030326,0.9
100:29:45,1657582260,2022-07-11T23:30:53,2022-07-11T17:31:00,1.993,12039.17,35.18,33.23,36.67,851.28,855.60,183.550003,21.10,0.9616,279,0,12.866,1.91535,4.10,53004,40.564667,-105.073021,1535.0,12,0.031354,0.9
100:30:15,1657582290,2022-07-11T23:31:23,2022-07-11T17:31:30,1.995,12040.17,35.16,33.17,36.61,851.15,855.61,185.899994,21.13,0.9617,279,0,12.865,1.91758,4.10,52992,40.564656,-105.073019,1532.3,12,0.048830,0.9
100:30:45,1657582320,2022-07-11T23:31:53,2022-07-11T17:32:00,1.992,12041.16,35.14,33.17,36.62,851.23,855.72,183.449997,21.28,0.9618,279,0,12.864,1.91795,4.10,52979,40.564668,-105.073035,1535.7,12,0.086352,0.9
100:31:15,1657582350,2022-07-11T23:32:23,2022-07-11T17:32:30,1.994,12042.16,35.11,33.16,36.61,851.26,855.57,185.949997,21.29,0.9617,279,0,12.864,1.91387,4.10,52967,40.564663,-105.073023,1538.2,12,0.090978,0.9
100:31:45,1657582380,2022-07-11T23:32:53,2022-07-11T17:33:00,1.993,12043.16,35.09,33.13,36.58,851.21,855.55,184.850006,21.42,0.9618,279,0,12.864,1.91795,4.10,52955,40.564634,-105.073008,1539.6,12,0.133640,0.9
100:32:15,1657582410,2022-07-11T23:33:23,2022-07-11T17:33:30,1.992,12044.15,35.05,33.07,36.56,851.25,855.61,184.250000,21.54,0.9619,279,0,12.864,1.91795,4.10,52942,40.564624,-105.073057,1531.6,12,0.169106,0.9
100:32:45,1657582440,2022-07-11T23:33:53,2022-07-11T17:34:00,1.992,12045.15,35.04,33.09,36.52,851.20,855.61,183.850006,21.35,0.9620,279,0,12.864,1.91535,4.10,52930,40.564628,-105.073067,1517.7,12,0.013878,0.9
100:33:15,1657582470,2022-07-11T23:34:23,2022-07-11T17:34:30,1.992,12046.14,35.04,33.09,36.53,851.20,855.55,182.949997,21.19,0.9620,279,0,12.864,1.91535,4.10,52918,40.564638,-105.073086,1515.1,12,0.028784,0.9
100:33:45,1657582500,2022-07-11T23:34:53,2022-07-11T17:35:00,1.992,12047.14,35.02,33.06,36.49,851.17,855.55,184.500000,21.33,0.9620,279,0,12.865,1.91461,4.09,52906,40.564634,-105.073084,1520.1,12,0.025700,0.9
100:34:15,1657582530,2022-07-11T23:35:23,2022-07-11T17:35:30,1.991,12048.14,35.01,33.04,36.49,851.20,855.66,183.750000,21.39,0.9622,279,0,12.862,1.91351,4.09,52893,40.564690,-105.073091,1522.8,12,0.005140,0.9
100:34:45,1657582560,2022-07-11T23:35:53,2022-07-11T17:36:00,1.991,12049.13,34.99,33.04,36.50,851.26,855.59,184.250000,21.43,0.9621,279,0,12.862,1.91166,4.09,52881,40.564706,-105.073089,1521.2,12,0.072988,0.9
100:35:15,1657582590,2022-07-11T23:36:23,2022-07-11T17:36:30,1.992,12050.13,34.99,33.00,36.46,851.09,855.69,183.100006,21.61,0.9622,279,0,12.863,1.91572,4.09,52869,40.564708,-105.073110,1520.0,12,0.032382,1.0
100:35:45,1657582620,2022-07-11T23:36:53,2022-07-11T17:37:00,1.991,12051.13,34.97,33.01,36.44,851.18,855.57,184.000000,21.69,0.9621,279,0,12.862,1.91683,4.09,52857,40.564692,-105.073098,1525.0,12,0.115650,1.0
100:36:15,1657582650,2022-07-11T23:37:23,2022-07-11T17:37:30,1.992,12052.12,34.96,32.99,36.43,851.21,855.62,183.350006,21.75,0.9622,279,0,12.862,1.91980,4.09,52844,40.564672,-105.073070,1528.6,12,0.020046,1.0
100:36:45,1657582680,2022-07-11T23:37:53,2022-07-11T17:38:00,1.990,12053.12,34.96,33.02,36.44,851.21,855.57,184.699997,22.06,0.9621,279,0,12.873,1.91055,4.19,52842,40.564663,-105.073068,1530.0,12,0.044718,0.9
100:37:15,1657582710,2022-07-11T23:38:23,2022-07-11T17:38:30,1.990,12054.11,34.96,33.38,36.43,851.24,855.06,184.300003,21.58,0.9616,279,0,12.879,1.91721,4.19,52875,40.564682,-105.073106,1523.0,12,0.150088,0.9
100:37:45,1657582740,2022-07-11T23:38:53,2022-07-11T17:39:00,1.994,12055.11,34.96,33.80,36.40,851.18,854.53,185.000000,21.41,0.9610,279,0,12.887,1.92054,4.19,52905,40.564662,-105.073064,1526.4,12,0.043176,0.9
100:38:15,1657582770,2022-07-11T23:39:23,2022-07-11T17:39:30,1.999,12056.11,35.00,34.19,36.42,851.15,854.10,182.750000,21.34,0.9604,279,0,12.890,1.92017,4.19,52934,40.564658,-105.073058,1527.9,12,0.131070,0.9
100:38:45,1657582800,2022-07-11T23:39:53,2022-07-11T17:40:00,2.001,12057.10,35.02,34.40,36.45,851.06,853.77,184.199997,21.65,0.9599,279,0,12.894,1.92426,4.19,52962,40.564617,-105.073033,1528.3,12,0.027242,0.9
100:39:15,1657582830,2022-07-11T23:40:23,2022-07-11T17:40:30,2.003,12058.10,35.05,34.64,36.52,851.19,853.48,185.199997,21.73,0.9595,279,0,12.898,1.92203,4.19,52990,40.564651,-105.073047,1528.9,12,0.103828,0.9
100:39:45,1657582860,2022-07-11T23:40:53,2022-07-11T17:41:00,2.005,12059.09,35.09,34.79,36.56,851.18,853.26,185.899994,21.90,0.9591,279,0,12.899,1.92129,4.19,53016,40.564661,-105.073051,1529.2,12,0.159854,0.9
100:40:15,1657582890,2022-07-11T23:41:23,2022-07-11T17:41:30,2.006,12060.09,35.13,34.92,36.56,851.21,853.19,186.649994,21.35,0.9590,279,0,12.901,1.92389,4.19,53041,40.564653,-105.073024,1528.8,12,0.033410,0.9
100:40:45,1657582920,2022-07-11T23:41:53,2022-07-11T17:42:00,2.006,12061.09,35.15,35.06,36.59,851.12,852.90,184.649994,20.89,0.9587,279,0,12.903,1.92537,4.19,53066,40.564653,-105.073038,1529.7,12,0.074530,0.9
100:41:15,1657582950,2022-07-11T23:42:23,2022-07-11T17:42:30,2.008,12062.08,35.18,35.20,36.60,851.12,852.93,185.850006,20.63,0.9587,279,0,12.904,1.92537,4.19,53091,40.564656,-105.073049,1533.6,12,0.012850,0.9
100:41:45,1657582980,2022-07-11T23:42:53,2022-07-11T17:43:00,2.008,12063.08,35.20,35.22,36.65,851.14,852.78,183.550003,20.90,0.9584,279,0,12.906,1.92351,4.19,53114,40.564660,-105.073057,1535.2,12,0.034438,0.9
100:42:15,1657583010,2022-07-11T23:43:23,2022-07-11T17:43:30,2.010,12064.07,35.22,35.28,36.65,851.11,852.69,184.750000,21.03,0.9582,279,0,12.905,1.92575,4.19,53137,40.564673,-105.073077,1529.8,12,0.078128,0.9
100:42:45,1657583040,2022-07-11T23:43:53,2022-07-11T17:44:00,2.010,12065.07,35.24,35.35,36.67,851.16,852.77,185.149994,21.01,0.9582,279,0,12.905,1.92351,4.19,53159,40.564687,-105.073081,1533.0,12,0.047802,0.8
100:43:15,1657583070,2022-07-11T23:44:23,2022-07-11T17:44:30,2.010,12066.07,35.25,35.39,36.70,851.18,852.72,184.100006,20.84,0.9582,279,0,12.906,1.92947,4.19,53181,40.564697,-105.073087,1536.1,12,0.008738,0.8
100:43:45,1657583100,2022-07-11T23:44:53,2022-07-11T17:45:00,2.011,12067.06,35.26,35.42,36.71,851.08,852.68,187.449997,21.00,0.9580,279,0,12.905,1.92575,4.19,53202,40.564693,-105.073051,1538.2,12,0.032382,0.8
100:44:15,1657583130,2022-07-11T23:45:23,2022-07-11T17:45:30,2.011,12068.06,35.28,35.46,36.72,851.15,852.67,186.399994,20.99,0.9580,280,0,12.907,1.92910,4.19,53223,40.564710,-105.073063,1529.4,12,0.073502,0.8
100:44:45,1657583160,2022-07-11T23:45:53,2022-07-11T17:46:00,2.008,12069.05,35.29,35.41,36.77,851.10,852.66,183.350006,21.06,0.9579,280,0,12.887,1.92612,4.19,53243,40.564687,-105.073062,1525.6,12,0.019532,0.8
100:45:15,1657583190,2022-07-11T23:46:23,2022-07-11T17:46:30,2.007,12070.05,35.30,35.44,36.73,851.10,852.70,184.100006,21.23,0.9579,280,0,12.886,1.92017,4.19,53262,40.564673,-105.073049,1526.4,12,0.049344,0.8
100:45:45,1657583220,2022-07-11T23:46:53,2022-07-11T17:47:00,2.007,12071.05,35.30,35.46,36.79,851.07,852.59,184.000000,20.95,0.9578,280,0,12.886,1.92537,4.19,53281,40.564684,-105.073027,1526.8,12,0.083782,0.8
100:46:15,1657583250,2022-07-11T23:47:23,2022-07-11T17:47:30,2.007,12072.04,35.31,35.44,36.79,851.04,852.62,185.699997,20.82,0.9578,280,0,12.885,1.92054,4.19,53300,40.564697,-105.073034,1526.4,12,0.104856,0.8
100:46:45,1657583280,2022-07-11T23:47:53,2022-07-11T17:48:00,2.006,12073.04,35.31,35.40,36.79,851.01,852.66,184.199997,20.68,0.9579,280,0,12.886,1.92314,4.19,53317,40.564691,-105.073062,1523.9,12,0.063736,0.8
100:47:15,1657583310,2022-07-11T23:48:23,2022-07-11T17:48:30,2.006,12074.04,35.31,35.39,36.79,851.01,852.66,182.649994,20.50,0.9580,280,0,12.885,1.92166,4.19,53335,40.564674,-105.073044,1527.6,12,0.016962,0.8
100:47:45,1657583340,2022-07-11T23:48:53,2022-07-11T17:49:00,2.006,12075.03,35.30,35.35,36.76,850.88,852.67,184.149994,20.82,0.9579,280,0,12.885,1.92054,4.19,53352,40.564659,-105.073051,1525.6,12,0.039578,0.8
100:48:15,1657583370,2022-07-11T23:49:23,2022-07-11T17:49:30,2.006,12076.03,35.31,35.32,36.78,850.98,852.76,183.800003,20.99,0.9580,280,0,12.884,1.92054,4.19,53368,40.564640,-105.073054,1528.1,12,0.052428,0.8
100:48:45,1657583400,2022-07-11T23:49:53,2022-07-11T17:50:00,2.006,12077.02,35.30,35.30,36.77,851.02,852.76,182.949997,20.87,0.9580,280,0,12.883,1.92314,4.19,53384,40.564653,-105.073064,1530.2,12,0.024672,0.8
100:49:15,1657583430,2022-07-11T23:50:23,2022-07-11T17:50:30,2.005,12078.02,35.30,35.28,36.78,850.96,852.70,184.399994,20.75,0.9580,280,0,12.883,1.92054,4.19,53399,40.564682,-105.073068,1527.2,12,0.006168,0.8
100:49:45,1657583460,2022-07-11T23:50:53,2022-07-11T17:51:00,2.005,12079.02,35.29,35.27,36.76,850.96,852.79,185.149994,20.92,0.9581,280,0,12.883,1.92277,4.19,53414,40.564696,-105.073078,1531.6,12,0.148032,0.8
100:50:15,1657583490,2022-07-11T23:51:23,2022-07-11T17:51:30,2.006,12080.01,35.29,35.23,36.77,851.07,852.86,183.949997,21.14,0.9581,280,0,12.882,1.91943,4.19,53429,40.564676,-105.073099,1531.3,12,0.080184,0.8
100:50:45,1657583520,2022-07-11T23:51:53,2022-07-11T17:52:00,2.004,12081.01,35.28,35.17,36.77,851.05,852.91,185.699997,20.87,0.9583,280,0,12.881,1.91906,4.19,53443,40.564646,-105.073121,1529.2,12,0.072474,0.8
100:51:15,1657583550,2022-07-11T23:52:23,2022-07-11T17:52:30,2.003,12082.00,35.28,35.13,36.73,851.10,852.86,185.300003,20.98,0.9582,280,0,12.879,1.92166,4.19,53457,40.564638,-105.073074,1524.5,12,0.051400,0.8
